testid	result
RMLTC0008b-SPARQL	inapplicable
RMLTC0008c-CSV	passed
RMLTC0008c-JSON	passed
RMLTC0008c-XML inapplicable	
RMLTC0008c-MySQL	passed
RMLTC0008c-PostgreSQL	passed
RMLTC0008c-SQLServer	
RMLTC0008c-SPARQL	inapplicable
RMLTC0009a-CSV	passed
RMLTC0009a-JSON	passed
RMLTC0009a-XML inapplicable	
RMLTC0009a-MySQL	passed
RMLTC0009a-PostgreSQl	passed
RMLTC0009a-SQLServer	
RMLTC0009a-SPARQL	inapplicable
MRMLTC0009b-CSV	failed
RMLTC0009b-JSON	failed
RMLTC0009b-XML inapplicable	
RMLTC0009b-MySQL	inapplicable	
RMLTC0009b-PostgreSQL	inapplicable		
RMLTC0009b-SQLServer	
RMLTC0009b-SPARQL	inapplicable
RMLTC0009c-MySQL	passed
RMLTC0009c-PostgreSQL	passed
RMLTC0009c-SQLServer	
RMLTC0009d-MySQL	passed
RMLTC0009d-PostgreSQL	passed
RMLTC0009d-SQLServer	
RMLTC0010a-CSV	passed
RMLTC0010a-JSON	passed
RMLTC0010a-MySQL	passed
RMLTC0010a-PostgreSQL	passed
RMLTC0010a-SQLServer	
RMLTC0010b-CSV	passed
RMLTC0010b-JSON	passed
RMLTC0010b-XML inapplicable	
RMLTC0010b-MySQL	passed
RMLTC0010b-PostgreSQL	passed
RMLTC0010b-SQLServer	
RMLTC0010c-CSV	inapplicable
RMLTC0010c-JSON	inapplicable
RMLTC0010c-XML inapplicable	
RMLTC0010c-MySQL	inapplicable	
RMLTC0010c-PostgreSQL	inapplicable	
RMLTC0010c-SQLServer	
RMLTC0011a-MySQL	passed
RMLTC0011a-PostgreSQL	passed
RMLTC0011a-SQLServer	
RMLTC0011b-CSV	passed
RMLTC0011b-JSON	passed
RMLTC0011b-XML inapplicable	
RMLTC0011b-MySQL	passed
RMLTC0011b-PostgreSQL	passed
RMLTC0011b-SQLServer	
RMLTC0012a-CSV	passed
RMLTC0012a-JSON	passed
RMLTC0012a-XML inapplicable	
RMLTC0012a-MySQL	passed
RMLTC0012a-PostgreSQL	passed
RMLTC0012a-SQLServer	
RMLTC0012a-SPARQL	inapplicable
RMLTC0012b-CSV	passed
RMLTC0012b-JSON	passed
RMLTC0012b-XML inapplicable	
RMLTC0012b-MySQL	passed
RMLTC0012b-PostgreSQL	passed
RMLTC0012b-SQLServer	
RMLTC0012b-SPARQL	inapplicable
RMLTC0012c-CSV		passed
RMLTC0012c-JSON		passed
RMLTC0012c-XML 	inapplicable
RMLTC0012c-MySQL 	passed	
RMLTC0012d-CSV		passed
RMLTC0012d-JSON		passed
RMLTC0012d-XML inapplicable	
RMLTC0012d-MySQL 	passed
RMLTC0012e-MySQL 	passed	
RMLTC0012e-PostgreSQL	passed
RMLTC0012e-SQLServer	
RMLTC0013a-JSON		passed
RMLTC0013a-MySQL	passed
RMLTC0013a-PostgreSQL	passed	
RMLTC0013a-SQLServer	
RMLTC0014d-MySQL	passed
RMLTC0014d-PostgreSQL	passed
RMLTC0014d-SQLServer	
RMLTC0015a-CSV	passed
RMLTC0015a-JSON	passed
RMLTC0015a-XML inapplicable	
RMLTC0015a-MySQL	passed
RMLTC0015a-PostgreSQL	passed
RMLTC0015a-SQLServer	
RMLTC0015b-CSV	passed
RMLTC0015b-JSON		passed
RMLTC0015b-XML inapplicable	
RMLTC0015b-MySQL	passed
RMLTC0015b-PostgreSQL	passed
RMLTC0015b-SQLServer	
RMLTC0016a-MySQL	passed
RMLTC0016a-PostgreSQL	passed
RMLTC0016a-SQLServer	
RMLTC0016b-MySQL	passed
RMLTC0016b-PostgreSQL	passed
RMLTC0016b-SQLServer	
RMLTC0016c-MySQL	passed
RMLTC0016c-PostgreSQL	passed
RMLTC0016c-SQLServer	
RMLTC0016d-MySQL	passed
RMLTC0016d-PostgreSQL	passed
RMLTC0016d-SQLServer	
RMLTC0016e-MySQL	passed
RMLTC0016e-PostgreSQL	passed
RMLTC0016e-SQLServer	
RMLTC0018a-MySQL	passed
RMLTC0018a-PostgreSQL	passed
RMLTC0018a-SQLServer	
RMLTC0019a-CSV	passed
RMLTC0019a-JSON	passed
RMLTC0019a-XML inapplicable	
RMLTC0019a-MySQL	passed
RMLTC0019a-PostgreSQL	passed
RMLTC0019a-SQLServer	
RMLTC0019b-CSV	passed
RMLTC0019b-JSON	passed
RMLTC0019b-XML inapplicable	
RMLTC0019b-MySQL	passed
RMLTC0019-PostgreSQL	passed
RMLTC0019b-SQLServer	
RMLTC0020a-CSV	passed
RMLTC0020a-JSON	passed
RMLTC0020a-XML inapplicable	
RMLTC0020a-MySQL	passed
RMLTC0020a-PostgreSQL	passed
RMLTC0020a-SQLServer	passed
RMLTC0020b-CSV	passed
RMLTC0020b-JSON	passed
RMLTC0020b-XML inapplicable	
RMLTC0020b-MySQL	passed
RMLTC0020b-PostgreSQL	
RMLTC0020b-SQLServer	
RMLTC1001-JSON	TBD
RMLTC1001-XML inapplicable	TBD
RMLTC1002-JSON	TBD
RMLTC1002-XML inapplicable	TBD
RMLTC1003-CSV	TBD
RMLTC1004-CSV	TBD
RMLTC1005a-CSV	TBD
RMLTC1005a-JSON	TBD
RMLTC1005a-XML inapplicable	TBD
RMLTC1005a-MySQL	TBD
RMLTC1005a-PostgreSQL	TBD
RMLTC1005a-SQLServer	TBD
RMLTC1005b-CSV	TBD
RMLTC1005b-JSON	TBD
RMLTC1005b-XML inapplicable	TBD
RMLTC1005b-MySQL	TBD
RMLTC1005b-PostgreSQL	TBD
RMLTC1005b-SQLServer	TBD
RMLTC1006-XML inapplicable	TBD
RMLTC1007-CSV	TBD
RMLTC1007-JSON	TBD
RMLTC1007-XML inapplicable	TBD
RMLTC1007-MySQL	TBD
RMLTC1007-PostgreSQL	TBD
RMLTC1007-SQLServer	TBD
RMLTC1008-CSV	TBD
RMLTC1008-JSON	TBD
RMLTC1008-XML inapplicable	TBD
RMLTC1008-MySQL	TBD
RMLTC1008-PostgreSQL	TBD
RMLTC1008-SQLServer	TBD
RMLTC1009-JSON
